,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603
FIT101,1.0,-0.8140054011292776,0.9864020275167793,0.6290215929235834,0.05146005334863735,0.44183158623971186,-0.2707755310572914,-0.5762245756187414,0.6195194519736169,0.6502209815515626,0.16991815834284837,,0.6191923611245412,0.04805795538963069,0.6277738035464634,0.04758111494895547,0.7278858143279393,0.7151480362442711,-0.46890166115849385,0.12686442562424485,0.6954979309066328,0.1148588955948851,-0.7878887972183476,,0.7035207472607976,-0.019660308997043782,-0.7614022489471723,0.7509057561684604,0.8145638284951449,,0.7956261809340966,,,0.7685694482105175,0.6947445785796287,-0.6893128594861466,-0.3801731062892127,0.09547472930399238,0.7994830175816217,0.7955431290024108,0.7940766310187806,0.7687423203585232,0.7685982839960278,,0.7985896635345126,0.7471822279415394,0.7991680601390957,0.096608996419641,,0.08699966378418729,
LIT101,-0.8140054011292776,1.0,-0.811304527192973,-0.6835973994089263,-0.2643625949676815,-0.28996789624245645,0.2431001333283238,0.5517297716151431,-0.6908575965723521,-0.708150281019232,-0.19742219490586027,,-0.6764794866126829,-0.047326679867060684,-0.6857096950493999,-0.04689804429898401,-0.6796041397734319,-0.7138362408218749,0.530851840850348,-0.12916296660055704,-0.6782777409735696,-0.12486404443854753,0.7535684176587703,,-0.702900071870067,0.03999331295628805,0.7044209248419936,-0.704339000916743,-0.7830419357554922,,-0.7549854736120958,,,-0.7113919535995488,-0.655996545591943,0.6283592172340128,0.36528611675844674,-0.1146488140064256,-0.7552857031985731,-0.7510581763207416,-0.7459796131713896,-0.7167789106734794,-0.7114286971670248,,-0.751693397350059,-0.6610284571515925,-0.7524908344291212,-0.10256365661527828,,-0.08909902156362362,
MV101,0.9864020275167793,-0.811304527192973,1.0,0.6247613733878458,0.05052359118170145,0.437377731792278,-0.2700208410409943,-0.5650598636254749,0.6147646012543712,0.6453640526405914,0.16759262743432637,,0.6146081323382233,0.047803838134967275,0.6232042750958954,0.047374661389873174,0.7214574878239576,0.7072753212398039,-0.4621726249692334,0.12769055317417946,0.6898288929115967,0.11500592139894981,-0.7767513866120409,,0.6967527769306227,-0.018327901808749426,-0.7492003005858879,0.7387936706753848,0.8021239045630253,,0.783298359678826,,,0.7560378322890903,0.6845595789181368,-0.6778450955264581,-0.3743625103728382,0.09536347298553752,0.7873868654185172,0.7829863791558648,0.7823153861556863,0.7578792558143095,0.7560750975451359,,0.7865105731751969,0.735973603269637,0.7870004736939136,0.09622623649905732,,0.08710417956132661,
P101,0.6290215929235834,-0.6835973994089263,0.6247613733878458,1.0,0.3861631930716773,0.3988129136951648,-0.34859429547981835,-0.38214145239157166,0.9911470991923369,0.9654714474240066,0.1915915684317991,,0.9815820393645047,0.0525073562505477,0.9898511024511716,0.0520359519213576,0.6578878287381238,0.7999910790338238,-0.6860516133272009,0.08224937697594985,0.7523725515233797,0.09731383594789392,-0.7384521703464364,,0.7881801090756291,-0.06811046864683527,-0.6740163758217688,0.6597562404559174,0.7520102564034445,,0.7245078777761184,,,0.6555280040145731,0.6642244389375074,-0.6213553992345019,-0.3783226998336782,0.11396289383762122,0.7126782979968773,0.7113537865479288,0.6934891448819664,0.6458776650389982,0.6555833428727889,,0.707980430956834,0.6518585995884442,0.7120383117324186,0.08520034414470862,,0.07997552272807394,
P102,0.05146005334863735,-0.2643625949676815,0.05052359118170145,0.3861631930716773,1.0,0.033589308785876175,-0.08612475902458924,-0.1320077762853146,0.4528198595686751,0.383425601589385,-0.028376499492174415,,0.401317792401512,-0.007762388740776188,0.3980043502062394,-0.00769269900738081,0.22965006435020188,0.33677923466979887,-0.2743330974178717,0.0016888350347298835,0.31086427857248594,0.05598530618046104,-0.2880688113497904,,0.3322171367343158,-0.03060237045414756,-0.2885455179449133,0.30943272075240447,0.29121606604916717,,0.2878957278688808,,,0.3020472094646437,0.23696421888803074,-0.27095463823465027,-0.07404241448497798,-0.019994750244472313,0.2994462424479182,0.3001989555611038,0.30112250253033834,0.3058420252236463,0.30200079170889277,,0.2944970120161797,0.3442719749896668,0.2924340407546109,0.04750100907801971,,0.04208413243862744,
AIT201,0.44183158623971186,-0.28996789624245645,0.437377731792278,0.3988129136951648,0.033589308785876175,1.0,-0.5447671412324883,-0.00994910596696841,0.38672103301766836,0.3627425370221373,-0.13988703976766922,,0.37692229476323413,0.021594868865631764,0.3923030403851688,0.021400595276162747,0.4397955674159648,0.3101861537095152,-0.04568467160657191,0.19135609143616186,0.2958657765727662,0.16999689733355824,-0.41690386570087584,,0.2936882264277907,0.21213108670470981,-0.34582292986481333,0.3970717976961301,0.42090332125021296,,0.4213773782520102,,,0.3657164733471137,0.5141768077670158,-0.3309915235467118,-0.191521708799932,0.10219905232097318,0.41724333699461197,0.408148687517713,0.4099709035572783,0.38612711510670106,0.36583743708616634,,0.4169205294056741,0.605072150967728,0.4203492465357073,0.1453294040197532,,0.13431425815573234,
AIT202,-0.2707755310572914,0.2431001333283238,-0.2700208410409943,-0.34859429547981835,-0.08612475902458924,-0.5447671412324883,1.0,-0.0799184226118598,-0.34367375436839354,-0.3209640777512095,0.05475695258951935,,-0.23602300088556918,-0.009675444648736646,-0.3470824861383865,-0.009581175066166093,-0.2705797563064196,-0.2506524711747594,0.12307240169574238,-0.07270171040999233,-0.2375910993595213,-0.08126485432914562,0.25169937587233027,,-0.2420245618199962,-0.1691137440265292,0.1845878541480416,-0.22477562627364275,-0.24894256195335993,,-0.23594140378875803,,,-0.2092520107124735,-0.24154827627939615,0.22596537216577628,0.1022471036352962,-0.05400390871672856,-0.23541953807224617,-0.23120606135518237,-0.23110662270137647,-0.21924537298454574,-0.20928966697120624,,-0.23350723386469655,-0.359224825234851,-0.23507494378051982,-0.07018678420122569,,-0.06343361155426747,
AIT203,-0.5762245756187414,0.5517297716151431,-0.5650598636254749,-0.38214145239157166,-0.1320077762853146,-0.00994910596696841,-0.0799184226118598,1.0,-0.38413108573547655,-0.4254050284938937,-0.18413560007807928,,-0.38231495242485375,-0.016932590963221066,-0.3834010321733083,-0.016779659482771537,-0.5015920383633172,-0.5606582478200217,0.4080501300831025,-0.0448832433189594,-0.5290117217397671,-0.0631809698623565,0.6408436584632675,,-0.5565920001437812,0.44096036331348054,0.808414481109941,-0.7033701268722885,-0.7090798468546672,,-0.7361489366373685,,,-0.7176031728784761,-0.7891250233072402,0.5259985339637765,0.44776886469107485,0.0014338345002843339,-0.733429032300394,-0.7358951885057037,-0.7247428898439399,-0.6933369871395998,-0.7176804226949376,,-0.7333344650665413,-0.5701099822753399,-0.7345814618057177,-0.0477129227094189,,-0.04259078722605728,
FIT201,0.6195194519736169,-0.6908575965723521,0.6147646012543712,0.9911470991923369,0.4528198595686751,0.38672103301766836,-0.34367375436839354,-0.38413108573547655,1.0,0.960657294387193,0.18427876025591988,,0.9838985440627499,0.050241350694300003,0.9915668275576127,0.04978972902167006,0.6567386826400602,0.8007763963501625,-0.6844433562593313,0.0857834976138059,0.7534441489365731,0.10332662264023298,-0.741002141936815,,0.7889575665586918,-0.07059039699351588,-0.6783647856808449,0.66624230332632,0.7549201621910913,,0.7275613254043879,,,0.6613094585618585,0.6649883122781118,-0.6255529905461273,-0.37360521638459304,0.10863889802412438,0.7170235671223174,0.7156636922799403,0.6985522503676777,0.6527163486538017,0.6613585729746535,,0.7121056324519098,0.6598207496287762,0.715862750410441,0.09327343090040953,,0.08718049883089257,
MV201,0.6502209815515626,-0.708150281019232,0.6453640526405914,0.9654714474240066,0.383425601589385,0.3627425370221373,-0.3209640777512095,-0.4254050284938937,0.960657294387193,1.0,0.18532031015200146,,0.9554164027837697,0.05069435323962017,0.9633703787174757,0.0502392258195977,0.6674109778396539,0.8194592368593022,-0.7045717305920797,0.07394083211879542,0.7679948843206269,0.09476282324517586,-0.7478084578382262,,0.8080831533447358,-0.08529444012026872,-0.6892303614336475,0.675696605742554,0.765501860823022,,0.7365695184839046,,,0.6707556626198494,0.6696829581685212,-0.6373641290541219,-0.3415988667942061,0.11091573499469722,0.7262743819144233,0.7249920466897976,0.7080559753200051,0.6621935785873367,0.6708054877592716,,0.7217599935430936,0.6559142332001195,0.7254267053773834,0.07612266691232353,,0.07190102839155352,
P201,0.16991815834284837,-0.19742219490586027,0.16759262743432637,0.1915915684317991,-0.028376499492174415,-0.13988703976766922,0.05475695258951935,-0.18413560007807928,0.18427876025591988,0.18532031015200146,1.0,,0.1939681060656229,-0.003751779440385755,0.19236662684057038,-0.003718096444390938,0.1350167072160764,0.1788045442336527,-0.15154969491336212,-0.010938589471236786,0.1778715853626701,-0.012184165714476175,-0.15080795130903593,,0.17993604831791676,-0.1164158133863477,-0.12959723570438303,-0.021619330058662543,0.1356451498851428,,0.13914805208347533,,,0.06222161565923821,0.1229627573420455,-0.11392004613906608,-0.5454051908916476,-0.004672864603496243,0.1184943042172605,0.11371585269765823,0.10137511278280399,0.06666924528139793,0.0622019719608308,,0.11476987396362055,0.02887885698878071,0.1185450587437662,-0.010146094324902223,,-0.00924116649579929,
P202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P203,0.6191923611245412,-0.6764794866126829,0.6146081323382233,0.9815820393645047,0.401317792401512,0.37692229476323413,-0.23602300088556918,-0.38231495242485375,0.9838985440627499,0.9554164027837697,0.1939681060656229,,1.0,-0.01934224917939981,0.9917435950809652,-0.019168596939977724,0.6519433552793521,0.7899837954963789,-0.6837368672392767,0.08535830122627086,0.7437471447346929,0.1011613026957034,-0.7296195691233159,,0.7788707945025002,-0.06898528633127463,-0.6668292842154608,0.6511904988723074,0.7419944570955529,,0.7169560069690919,,,0.6469287128927818,0.6553228815904482,-0.6146606656336363,-0.3779153215676503,0.11651822912554871,0.7048786596915861,0.7035242558311927,0.6854284842340744,0.6377625749296604,0.6469861089317577,,0.6999900916582749,0.6353238977794146,0.7040223670353388,0.08859655091955039,,0.08320805664348793,
P204,0.04805795538963069,-0.047326679867060684,0.047803838134967275,0.0525073562505477,-0.007762388740776188,0.021594868865631764,-0.009675444648736646,-0.016932590963221066,0.050241350694300003,0.05069435323962017,-0.003751779440385755,,-0.01934224917939981,1.0,-0.018215327041744653,0.991022127891264,0.03610981849729846,0.04910554152569698,0.007597993111022616,-0.0029922501108566113,0.04865675528100833,-0.0033329773738920996,-0.04125350075625772,,0.049221488926322554,-0.0318455346926774,-0.03762771908236515,0.04028742398811999,0.05161450743505787,,0.0380639364306193,,,0.039934964875001575,0.03357238431685479,-0.03476145970594981,0.04730718740121561,-0.003957311970450348,0.03894271137431401,0.03860098415262738,0.0404651996386546,0.04083667099092294,0.039928827783223576,,0.04032560346000746,0.04941808724407484,0.04026875891135299,-0.002744092103430121,,-0.0025279202171564793,
P205,0.6277738035464634,-0.6857096950493999,0.6232042750958954,0.9898511024511716,0.3980043502062394,0.3923030403851688,-0.3470824861383865,-0.3834010321733083,0.9915668275576127,0.9633703787174757,0.19236662684057038,,0.9917435950809652,-0.018215327041744653,1.0,-0.01932817820559006,0.6575315386424224,0.798275406139389,-0.6878099584693429,0.0843463805013765,0.7520444533220597,0.10001087617161031,-0.7362754463629201,,0.787163032588283,-0.06657282082624232,-0.672497482761409,0.6580586378451739,0.7489530704217459,,0.7229298694830683,,,0.6535990477417645,0.6625338102639925,-0.6199515782832817,-0.3847118807982024,0.11444989772762976,0.711237908853172,0.7098134965568428,0.691997727530104,0.6445893847788052,0.6536548186303816,,0.7063663480578223,0.6476802728652408,0.7103654881851151,0.08762907168295998,,0.08231070492437481,
P206,0.04758111494895547,-0.04689804429898401,0.047374661389873174,0.0520359519213576,-0.00769269900738081,0.021400595276162747,-0.009581175066166093,-0.016779659482771537,0.04978972902167006,0.0502392258195977,-0.003718096444390938,,-0.019168596939977724,0.991022127891264,-0.01932817820559006,1.0,0.03578612511372692,0.04866483881501605,0.007541318403052003,-0.002965386072044855,0.048219921154870074,-0.003303054329288369,-0.04088313210242691,,0.048779584693741176,-0.03155962955495456,-0.03728974142938433,0.039927332291708854,0.05115431765113997,,0.037722203277384486,,,0.0395764338676823,0.03326099640207427,-0.03444971625429835,0.04685966190596417,-0.003922104332512343,0.03859342976243711,0.038255844315813387,0.0400987508707336,0.04047065898671545,0.03957035187392966,,0.039964731777245736,0.048999021804538606,0.039908761186811144,-0.0027194559954712844,,-0.002505224872745967,
DPIT301,0.7278858143279393,-0.6796041397734319,0.7214574878239576,0.6578878287381238,0.22965006435020188,0.4397955674159648,-0.2705797563064196,-0.5015920383633172,0.6567386826400602,0.6674109778396539,0.1350167072160764,,0.6519433552793521,0.03610981849729846,0.6575315386424224,0.03578612511372692,1.0,0.7552338628235031,-0.4874130764179496,0.00945115740569644,0.776791898718217,0.1617351567958099,-0.7308755115883723,,0.7390503760239787,-0.008168207022585425,-0.7003736508870803,0.7061318370669715,0.7245051116918748,,0.7438014503093231,,,0.7013352461402363,0.6685834544780781,-0.6481450586416944,-0.255515866126636,0.06648900536656055,0.7394291621291654,0.7381698132490714,0.7267977876282208,0.6906406806851209,0.701344077751412,,0.7356562704287885,0.6781540906009831,0.7380113766744189,0.11039838939987495,,0.09104258766812855,
FIT301,0.7151480362442711,-0.7138362408218749,0.7072753212398039,0.7999910790338238,0.33677923466979887,0.3101861537095152,-0.2506524711747594,-0.5606582478200217,0.8007763963501625,0.8194592368593022,0.1788045442336527,,0.7899837954963789,0.04910554152569698,0.798275406139389,0.04866483881501605,0.7552338628235031,1.0,-0.6202751642131835,-0.060112492352815516,0.9182463052089562,-0.049704126352765346,-0.8049695239018972,,0.9916511012706628,-0.13143793734700668,-0.7346543529562352,0.725603723191668,0.8058476061152848,,0.7836233381754282,,,0.7220258603388781,0.7025731646436781,-0.6774561435325015,-0.40497554447607514,0.1074404628842368,0.7730479914897697,0.7715827448799776,0.7540805297357931,0.7054563245587486,0.7220681201180795,,0.7689231836288014,0.6810977259613812,0.7726201958110455,-0.05271011117919047,,-0.04739625533734653,
LIT301,-0.46890166115849385,0.530851840850348,-0.4621726249692334,-0.6860516133272009,-0.2743330974178717,-0.04568467160657191,0.12307240169574238,0.4080501300831025,-0.6844433562593313,-0.7045717305920797,-0.15154969491336212,,-0.6837368672392767,0.007597993111022616,-0.6878099584693429,0.007541318403052003,-0.4874130764179496,-0.6202751642131835,1.0,-0.016206795934278127,-0.5876094160499364,-0.04443960030725591,0.561761482836829,,-0.6155365661883923,0.1251767050422113,0.53132933786646,-0.5223386343977969,-0.5690762139080255,,-0.5470187936121682,,,-0.5183160826489239,-0.440581391607894,0.505505522132228,0.17404807669408237,-0.029498030549002283,-0.5403056657006758,-0.5432800529913745,-0.5288382026184074,-0.49795547364242493,-0.518265761353052,,-0.5373047131802415,-0.4535788456015434,-0.5391286547848952,-0.03753808096066337,,-0.03194839453310056,
MV301,0.12686442562424485,-0.12916296660055704,0.12769055317417946,0.08224937697594985,0.0016888350347298835,0.19135609143616186,-0.07270171040999233,-0.0448832433189594,0.0857834976138059,0.07394083211879542,-0.010938589471236786,,0.08535830122627086,-0.0029922501108566113,0.0843463805013765,-0.002965386072044855,0.00945115740569644,-0.060112492352815516,-0.016206795934278127,1.0,-0.059130167056050474,0.3053714080543641,-0.12027762191094742,,-0.06079153995816109,0.048411408912392734,-0.1026760156411929,0.11064863413154069,0.10008359181377306,,0.11097821204297904,,,0.10836722742326554,0.12139719472404002,-0.09090715524298591,-0.10463834533646164,-0.02003705667351547,0.11241050159917021,0.11126535713066436,0.11355755883792315,0.11235479678020865,0.10834960306266408,,0.11355562567048176,0.14914318182161304,0.11360003996707747,0.4306780790373121,,0.5777680573572135,
MV302,0.6954979309066328,-0.6782777409735696,0.6898288929115967,0.7523725515233797,0.31086427857248594,0.2958657765727662,-0.2375910993595213,-0.5290117217397671,0.7534441489365731,0.7679948843206269,0.1778715853626701,,0.7437471447346929,0.04865675528100833,0.7520444533220597,0.048219921154870074,0.776791898718217,0.9182463052089562,-0.5876094160499364,-0.059130167056050474,1.0,-0.06586331409830123,-0.8309424154095483,,0.9232942673019022,-0.13306154405889592,-0.7067655677110823,0.6947787003777998,0.7737468977371827,,0.752105457254177,,,0.6917363556747523,0.6694067156193323,-0.6537360413781154,-0.3554843052954665,0.10660646145362365,0.74112448341485,0.7392215229944946,0.7232759395973347,0.67637293469199,0.691779750373968,,0.7376955076566892,0.6223915790869482,0.7413068478084315,-0.054581658237829324,,-0.04995449551571519,
