,count,mean,std,min,25%,50%,75%,max,missing,skewness,kurtosis
FIT101,54621.0,0.7880881352006921,1.176308480669312,0.0,0.0,0.0,2.457163,2.700573,0,0.8269799832038361,-1.3088158777061114
LIT101,54621.0,727.4177993866829,135.35917947732395,189.8263,626.003,813.0424,813.7097,925.0323,0,-1.2239624982565194,0.3165720000841339
MV101,54621.0,1.3065304553193826,0.46473516447277674,0.0,1.0,1.0,2.0,2.0,0,0.7882819129829658,-1.2348169708157395
P101,54621.0,1.2712692920305377,0.4446188057879867,1.0,1.0,1.0,2.0,2.0,0,1.0288939595844624,-0.9413772199306054
P102,54621.0,1.0554548616832353,0.22886803835693745,1.0,1.0,1.0,1.0,2.0,0,3.8847644339081513,13.09139470695769
AIT201,54621.0,202.22725266106443,26.587951737297495,168.8029,188.6055,192.9633,197.2892,265.1884,0,1.4433111422830907,0.7544322932430774
AIT202,54621.0,8.546089186045661,0.16592740547739276,6.0,8.529095,8.57716,8.610485,8.705011,0,-11.776317945766658,176.8124955737011
AIT203,54621.0,337.13528123249296,21.162628105614985,287.9518,322.2763,334.0169,356.7034,370.546,0,-0.18125995571855852,-0.8155826309999163
FIT201,54621.0,0.6891763069990937,1.1248661097162476,0.0,0.0,0.0,2.440265,2.826899,0,1.031900211582324,-0.9091172566923995
MV201,54621.0,1.2815949909375515,0.4539945866029308,0.0,1.0,1.0,2.0,2.0,0,0.9099996689503874,-0.9956761330934034
P201,54621.0,1.0135295948444738,0.11552830501883973,1.0,1.0,1.0,1.0,2.0,0,8.421743195865004,68.92575845709852
P202,54621.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,
P203,54621.0,1.2671499972538034,0.4424753785675048,1.0,1.0,1.0,2.0,2.0,0,1.0524975877100142,-0.8922488278646017
P204,54621.0,1.0010252466999872,0.0320033485823492,1.0,1.0,1.0,1.0,2.0,0,31.18294447769339,970.3760262989096
P205,54621.0,1.27040881712162,0.4441750789415385,1.0,1.0,1.0,2.0,2.0,0,1.0337963360275797,-0.9312651356159516
