,count,mean,std,min,25%,50%,75%,max,missing,skewness,kurtosis
FIT101,1441719.0,1.8061083983698538,1.1539317101409323,0.0,0.0,2.487269,2.588156,2.760145,0,-0.9154022502284241,-1.143660260812352
LIT101,1441719.0,593.1200480884278,123.93245828723865,120.6237,508.7943,526.8113,695.7159,1000.0,0,0.5252801979039975,-0.3071249686147608
MV101,449919.0,1.6653353159124198,0.4823229561038759,0.0,1.0,2.0,2.0,2.0,991800,-0.8335638910103884,-0.9604348738566513
P101,1441719.0,1.7309163574871387,0.4434836775618785,1.0,1.0,2.0,2.0,2.0,0,-1.041375136241183,-0.9155378256186562
P102,1441719.0,1.0021675513744357,0.046506500574289004,1.0,1.0,1.0,1.0,2.0,0,21.40916281081208,456.3522522598591
AIT201,449919.0,210.2973024593315,35.15790861175222,168.0338,177.102,193.5081,253.8452,267.7198,991800,0.3802341799590752,-1.540556974822185
AIT202,1441719.0,8.431861614794562,0.11813887926239588,6.0,8.357024,8.380095,8.45059,8.988273,0,0.5246382403950983,28.002617864155905
AIT203,1441719.0,339.56582554644825,43.999077382751516,285.3371,321.1484,330.0179,334.1451,567.4699,0,2.637007261764842,6.278551597447958
FIT201,1441719.0,1.7912387938870116,1.0846549519887463,0.0,0.0,2.444238,2.45244,2.826899,0,-1.041094484340379,-0.9111038635020816
MV201,449919.0,1.6915844852073374,0.47061143985902065,0.0,1.0,2.0,2.0,2.0,991800,-0.9469407406160064,-0.7887888688355016
P201,449919.0,1.1210684589892848,0.3262071791652976,1.0,1.0,1.0,1.0,2.0,991800,2.32325948859788,3.397534651360072
P202,449919.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,991800,,
P203,1441719.0,1.7288084571265274,0.44457488349935675,1.0,1.0,2.0,2.0,2.0,0,-1.029336316429821,-0.9404667476786868
P204,449919.0,1.0001244668484772,0.011155789218597431,1.0,1.0,1.0,1.0,2.0,991800,89.6173419692037,8029.2679816252
P205,1441719.0,1.670107004208171,0.47017418097209446,1.0,1.0,2.0,2.0,2.0,0,-0.7235916819209816,-1.4764150778547642
P206,1441719.0,1.00003814890419,0.00617636424694113,1.0,1.0,1.0,1.0,2.0,0,161.89525244868372,26208.07276542306
DPIT301,1441719.0,16.347187078910412,7.08110101975448,0.0,19.5435,19.84762,20.02049,45.0,0,-1.3828402342909516,0.49794130086054667
FIT301,1441719.0,1.7966855127733259,0.8524114029316135,0.0,2.198379,2.210678,2.216058,2.376197,0,-1.5845247948290382,0.5381159131698312
LIT301,1441719.0,902.2586038925747,93.08453495986375,132.8185,834.6818,920.4371,968.1412,1201.0,0,-2.400774142606429,14.619945886166896
MV301,1441719.0,1.0060746927799384,0.11453487069128275,0.0,1.0,1.0,1.0,2.0,0,3.883809934224708,72.60340370382735
MV302,1441719.0,1.7847416868335646,0.4268840863645438,0.0,2.0,2.0,2.0,2.0,0,-1.6393634447747307,1.3904450506415689
MV303,449919.0,1.0233486472009405,0.18144127901058055,0.0,1.0,1.0,1.0,2.0,991800,3.520718476532047,25.967008626370244
MV304,1441719.0,1.0485704911983542,0.24575294389926786,0.0,1.0,1.0,1.0,2.0,0,2.6718393750918032,11.856440210302306
P301,1441719.0,1.0026010616493228,0.050934251020967304,1.0,1.0,1.0,1.0,2.0,0,19.53102679955183,379.4610078448115
P302,1441719.0,1.806525404742533,0.3950218784838634,1.0,2.0,2.0,2.0,2.0,0,-1.5519419442011473,0.40852379817083806
AIT401,1441719.0,132.07881645603726,47.000612277891186,0.0,148.8032,148.8032,148.808,148.8561,0,-2.454163303860081,4.022940695679171
AIT402,1441719.0,168.38192357519043,27.52776176765289,140.8357,154.1143,163.0351,176.8265,333.8118,0,4.016778750237466,20.250667286447435
FIT401,1441719.0,1.6669284818568935,0.2741670786029257,0.0,1.701727,1.711595,1.721847,1.747862,0,-5.876202891702058,32.690112786050726
LIT401,1441719.0,866.6564988655209,130.99236575329004,130.3896,835.4396,890.1564,934.9141,1003.935,0,-3.2962782921879143,12.909300527841692
