Dataset,Model,Seed,Parameters,Model_Size_MB,Latency_ms_per_window,Windows_per_second
SWaT,DT-RAVLA-Supervised,42,614274,2.360433578491211,1.7623910002293997,567.4109773993604
WADI,DT-RAVLA-OneClass,42,616467,2.368795394897461,1.9190780000644736,521.0835619846634
SWaT,DT-RAVLA-Supervised,52,614274,2.360433578491211,1.7577390000224113,568.9126770170371
WADI,DT-RAVLA-OneClass,52,616467,2.368795394897461,0.7645490000140853,1307.960640824299
SWaT,DT-RAVLA-Supervised,62,614274,2.360433578491211,0.7956889999331906,1256.7724325508636
WADI,DT-RAVLA-OneClass,62,616467,2.368795394897461,0.9534850000636652,1048.7841968496923
SWaT,DT-RAVLA-Supervised,72,614274,2.360433578491211,1.8013309998787008,555.1450566649543
WADI,DT-RAVLA-OneClass,72,616467,2.368795394897461,1.717380000045523,582.2823137415672
SWaT,DT-RAVLA-Supervised,82,614274,2.360433578491211,1.722365999885369,580.5966908697421
WADI,DT-RAVLA-OneClass,82,616467,2.368795394897461,1.6737219999777153,597.470786673841
